request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600.00,2026-04-06,none,Current balance: 366705.00 INR. Required minimum: 95000.00 INR. Safe amount today: 80600.00 INR. Recommended method: full_payment. Full payment is first forecast safe on 2026-04-06.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Current balance: 9001.95 USD. Required minimum: 1700.00 USD. Safe amount today: 2907.60 USD. Recommended method: installments. Full payment is first forecast safe on 2024-12-03.
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802.00,2025-05-05,none,Current balance: 105090.30 ZAR. Required minimum: 31200.00 ZAR. Safe amount today: 43802.00 ZAR. Recommended method: full_payment. Full payment is first forecast safe on 2025-05-05.
request_168,49380.0,affordable_later,not_recommended,none,2026-02-13,none,Current balance is 173843.00 INR; minimum balance to keep is 114400.00 INR. Maximum safe amount today is 49380.00 INR.
request_169,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_170,36936000.0,affordable_with_plan,installments,2025-08-06:12804480.00|2025-09-03:12804480.00|2025-10-01:12804480.00,2025-09-13,none,Current balance: 69446998.40 IDR. Required minimum: 24715800.00 IDR. Safe amount today: 36936000.00 IDR. Recommended method: installments. Full payment is first forecast safe on 2025-09-13.
request_171,310.65,not_affordable,not_recommended,none,,none,Current balance is 810.65 EUR; minimum balance to keep is 500.00 EUR. Maximum safe amount today is 310.65 EUR.
request_172,10200.0,affordable_with_plan,installments,2024-06-05:5304.00|2024-07-03:5304.00,2024-06-05,none,Current balance: 50942.40 ZAR. Required minimum: 27200.00 ZAR. Safe amount today: 10200.00 ZAR. Recommended method: installments. Full payment is first forecast safe on 2024-06-05.
request_173,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Current balance: 3266.04 EUR. Required minimum: 700.00 EUR. Safe amount today: 1146.20 EUR. Recommended method: installments. Full payment is first forecast safe on 2026-04-04.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Current balance: 4760.25 EUR. Required minimum: 1700.00 EUR. Safe amount today: 2346.30 EUR. Recommended method: full_payment. Full payment is first forecast safe on 2024-09-06.
request_176,0.0,not_affordable,not_recommended,none,,none,Current balance is 1286.95 EUR; minimum balance to keep is 600.00 EUR. Maximum safe amount today is 0.00 EUR.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,Current balance: 2987.24 USD. Required minimum: 1300.00 USD. Safe amount today: 1017.60 USD. Recommended method: full_payment. Full payment is first forecast safe on 2026-01-05.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,Current balance: 7959.30 EUR. Required minimum: 1400.00 EUR. Safe amount today: 2938.10 EUR. Recommended method: installments. Full payment is first forecast safe on 2024-12-07.
request_179,37957250.0,not_affordable,not_recommended,none,,none,Current balance is 79388050.00 IDR; minimum balance to keep is 41430800.00 IDR. Maximum safe amount today is 37957250.00 IDR.
request_180,37654.33,not_affordable,not_recommended,none,,none,Current balance is 134980.00 INR; minimum balance to keep is 37300.00 INR. Maximum safe amount today is 37654.33 INR.
request_181,1362.0,not_affordable,not_recommended,none,,none,Current balance is 3362.00 USD; minimum balance to keep is 2000.00 USD. Maximum safe amount today is 1362.00 USD.
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714.00,2025-08-05,none,Current balance: 125010.30 ZAR. Required minimum: 31100.00 ZAR. Safe amount today: 65714.00 ZAR. Recommended method: full_payment. Full payment is first forecast safe on 2025-08-05.
request_183,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_184,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_185,783.4,affordable_later,wait,2026-01-13:1257.30,2026-01-13,none,Current balance: 2083.40 EUR. Required minimum: 1300.00 EUR. Safe amount today: 783.40 EUR. Recommended method: wait. Full payment is first forecast safe on 2026-01-13.
request_186,22863.5,affordable_later,wait,2026-03-15:26554.00,2026-03-15,none,Current balance: 44863.50 ZAR. Required minimum: 22000.00 ZAR. Safe amount today: 22863.50 ZAR. Recommended method: wait. Full payment is first forecast safe on 2026-03-15.
request_187,67435.0,affordable_later,wait,2024-11-13:187500.00,2024-11-13,none,Current balance: 195735.00 INR. Required minimum: 128300.00 INR. Safe amount today: 67435.00 INR. Recommended method: wait. Full payment is first forecast safe on 2024-11-13.
request_188,585.3,not_affordable,not_recommended,none,,none,Current balance is 1485.30 EUR; minimum balance to keep is 900.00 EUR. Maximum safe amount today is 585.30 EUR.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Current balance: 1147.66 EUR. Required minimum: 400.00 EUR. Safe amount today: 488.40 EUR. Recommended method: full_payment. Full payment is first forecast safe on 2026-07-04.
request_190,1555.8,affordable_later,wait,2024-12-15:2557.50,2024-12-15,none,Current balance: 3155.80 EUR. Required minimum: 1600.00 EUR. Safe amount today: 1555.80 EUR. Recommended method: wait. Full payment is first forecast safe on 2024-12-15.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Current balance: 1591.06 EUR. Required minimum: 500.00 EUR. Safe amount today: 664.40 EUR. Recommended method: full_payment. Full payment is first forecast safe on 2025-05-03.
request_192,0.0,not_affordable,not_recommended,none,,none,Current balance is 1384.80 USD; minimum balance to keep is 1000.00 USD. Maximum safe amount today is 0.00 USD.
request_193,310.62,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-18,none,Current balance: 1310.62 EUR. Required minimum: 1000.00 EUR. Safe amount today: 310.62 EUR. Recommended method: installments. Full payment is first forecast safe on 2024-05-18.
request_194,95030.0,not_affordable,not_recommended,none,,none,Current balance is 208630.00 INR; minimum balance to keep is 113600.00 INR. Maximum safe amount today is 95030.00 INR.
request_195,1170.4,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-02-13,none,Current balance: 2011.18 EUR. Required minimum: 700.00 EUR. Safe amount today: 1170.40 EUR. Recommended method: installments. Full payment is first forecast safe on 2026-02-13.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Current balance: 1575.65 EUR. Required minimum: 500.00 EUR. Safe amount today: 762.30 EUR. Recommended method: full_payment. Full payment is first forecast safe on 2024-06-03.
request_197,29286588.27,not_affordable,not_recommended,none,,none,Current balance is 96081218.26 IDR; minimum balance to keep is 26245900.00 IDR. Maximum safe amount today is 29286588.27 IDR.
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800.00,2026-07-07,none,Current balance: 395190.00 INR. Required minimum: 124300.00 INR. Safe amount today: 185800.00 INR. Recommended method: full_payment. Full payment is first forecast safe on 2026-07-07.
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Current balance: 136691818.94 IDR. Required minimum: 25359500.00 IDR. Safe amount today: 23674000.00 IDR. Recommended method: installments. Full payment is first forecast safe on 2024-09-04.
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000.00,2025-02-06,none,Current balance: 53886150.00 IDR. Required minimum: 20114600.00 IDR. Safe amount today: 21717000.00 IDR. Recommended method: full_payment. Full payment is first forecast safe on 2025-02-06.
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000.00,2026-04-03,none,Current balance: 77973400.00 IDR. Required minimum: 17304500.00 IDR. Safe amount today: 23997000.00 IDR. Recommended method: full_payment. Full payment is first forecast safe on 2026-04-03.
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900.00,2024-12-05,none,Current balance: 366065.00 INR. Required minimum: 147800.00 INR. Safe amount today: 123900.00 INR. Recommended method: full_payment. Full payment is first forecast safe on 2024-12-05.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Current balance: 8327.38 EUR. Required minimum: 1400.00 EUR. Safe amount today: 1442.10 EUR. Recommended method: installments. Full payment is first forecast safe on 2025-05-07.
request_204,0.0,not_affordable,not_recommended,none,,none,Current balance is 2626.28 EUR; minimum balance to keep is 1300.00 EUR. Maximum safe amount today is 0.00 EUR.
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000.00,2024-03-06,none,Current balance: 31462900.00 IDR. Required minimum: 13994300.00 IDR. Safe amount today: 10621000.00 IDR. Recommended method: full_payment. Full payment is first forecast safe on 2024-03-06.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Current balance: 5231.14 EUR. Required minimum: 900.00 EUR. Safe amount today: 1404.70 EUR. Recommended method: installments. Full payment is first forecast safe on 2025-08-03.
request_207,11830.0,affordable_later,wait,2026-07-15:11830.00,2026-07-15,none,Current balance: 26729.60 ZAR. Required minimum: 13600.00 ZAR. Safe amount today: 11830.00 ZAR. Recommended method: wait. Full payment is first forecast safe on 2026-07-15.
request_208,4413000.0,affordable_later,wait,2024-06-14:4413000.00,2024-06-14,none,Current balance: 16928800.00 IDR. Required minimum: 10470700.00 IDR. Safe amount today: 4413000.00 IDR. Recommended method: wait. Full payment is first forecast safe on 2024-06-14.
request_209,8625.1,not_affordable,not_recommended,none,,none,Current balance is 27025.10 ZAR; minimum balance to keep is 18400.00 ZAR. Maximum safe amount today is 8625.10 ZAR.
request_210,1360.02,affordable_with_plan,installments,2026-04-06:471.48|2026-05-04:471.48|2026-06-01:471.48,2026-04-14,none,Current balance: 3525.32 USD. Required minimum: 2000.00 USD. Safe amount today: 1360.02 USD. Recommended method: installments. Full payment is first forecast safe on 2026-04-14.
request_211,1227.89,affordable_later,wait,2024-09-14:1788.60,2024-09-14,none,Current balance: 2727.89 EUR. Required minimum: 1500.00 EUR. Safe amount today: 1227.89 EUR. Recommended method: wait. Full payment is first forecast safe on 2024-09-14.
request_212,22344000.0,not_affordable,not_recommended,none,,none,Current balance is 51923800.00 IDR; minimum balance to keep is 29579800.00 IDR. Maximum safe amount today is 22344000.00 IDR.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Current balance: 12051.94 USD. Required minimum: 2100.00 USD. Safe amount today: 3362.40 USD. Recommended method: installments. Full payment is first forecast safe on 2026-01-07.
request_214,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Current balance: 93951.16 ZAR. Required minimum: 15700.00 ZAR. Safe amount today: 29986.00 ZAR. Recommended method: installments. Full payment is first forecast safe on 2025-05-06.
request_216,1166.8,not_affordable,not_recommended,none,,none,Current balance is 2966.80 USD; minimum balance to keep is 1800.00 USD. Maximum safe amount today is 1166.80 USD.
request_217,31601.97,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,Current balance: 58401.97 ZAR. Required minimum: 26800.00 ZAR. Safe amount today: 31601.97 ZAR. Recommended method: installments. Full payment is first forecast safe on 2024-03-15.
request_218,37942414.8,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-14,none,Current balance: 72419614.80 IDR. Required minimum: 34477200.00 IDR. Safe amount today: 37942414.80 IDR. Recommended method: installments. Full payment is first forecast safe on 2025-08-14.
request_219,0.0,not_affordable,not_recommended,none,,none,Current balance is 2815.51 EUR; minimum balance to keep is 1100.00 EUR. Maximum safe amount today is 0.00 EUR.
request_220,387.32,not_affordable,not_recommended,none,,none,Current balance is 1487.32 EUR; minimum balance to keep is 1100.00 EUR. Maximum safe amount today is 387.32 EUR.
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800.00,2025-11-03,none,Current balance: 268305.00 INR. Required minimum: 81500.00 INR. Safe amount today: 109800.00 INR. Recommended method: full_payment. Full payment is first forecast safe on 2025-11-03.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078.00,2026-01-05,none,Current balance: 118101.70 ZAR. Required minimum: 27300.00 ZAR. Safe amount today: 34078.00 ZAR. Recommended method: full_payment. Full payment is first forecast safe on 2026-01-05.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Current balance: 2255.51 EUR. Required minimum: 800.00 EUR. Safe amount today: 898.70 EUR. Recommended method: full_payment. Full payment is first forecast safe on 2024-09-07.
request_224,10327000.0,affordable_later,not_recommended,none,2025-03-16,none,Current balance is 49969400.00 IDR; minimum balance to keep is 22187600.00 IDR. Maximum safe amount today is 10327000.00 IDR.
request_225,18120459.6,affordable_with_plan,installments,2026-07-20:7647120.00|2026-08-19:7647120.00|2026-09-18:7647120.00,2026-09-13,none,Current balance: 35791159.60 IDR. Required minimum: 17670700.00 IDR. Safe amount today: 18120459.60 IDR. Recommended method: installments. Full payment is first forecast safe on 2026-09-13.
request_226,157000.0,not_affordable,not_recommended,none,,none,Current balance is 581180.00 INR; minimum balance to keep is 209400.00 INR. Maximum safe amount today is 157000.00 INR.
request_227,42755.0,not_affordable,not_recommended,none,,none,Current balance is 105655.00 INR; minimum balance to keep is 62900.00 INR. Maximum safe amount today is 42755.00 INR.
request_228,0.0,not_affordable,not_recommended,none,,none,Current balance is 36748550.00 IDR; minimum balance to keep is 26191200.00 IDR. Maximum safe amount today is 0.00 IDR.
request_229,800.52,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-18,none,Current balance: 1800.52 EUR. Required minimum: 1000.00 EUR. Safe amount today: 800.52 EUR. Recommended method: installments. Full payment is first forecast safe on 2024-05-18.
request_230,3537.6,not_affordable,not_recommended,none,,none,Current balance is 8676.76 EUR; minimum balance to keep is 2000.00 EUR. Maximum safe amount today is 3537.60 EUR.
request_231,35706.0,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-14,none,Current balance: 84590.59 ZAR. Required minimum: 24300.00 ZAR. Safe amount today: 35706.00 ZAR. Recommended method: installments. Full payment is first forecast safe on 2026-01-14.
request_232,0.0,not_affordable,not_recommended,none,,none,Current balance is 4269.40 EUR; minimum balance to keep is 2400.00 EUR. Maximum safe amount today is 0.00 EUR.
request_233,0.0,not_affordable,not_recommended,none,,none,Current balance is 19341300.00 IDR; minimum balance to keep is 10365700.00 IDR. Maximum safe amount today is 0.00 IDR.
request_234,574.25,affordable_later,wait,2026-09-13:1213.30,2026-09-13,none,Current balance: 1274.25 EUR. Required minimum: 700.00 EUR. Safe amount today: 574.25 EUR. Recommended method: wait. Full payment is first forecast safe on 2026-09-13.
request_235,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_236,14404850.0,not_affordable,not_recommended,none,,none,Current balance is 31173450.00 IDR; minimum balance to keep is 16768600.00 IDR. Maximum safe amount today is 14404850.00 IDR.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000.00,2026-04-05,none,Current balance: 100824550.00 IDR. Required minimum: 22431500.00 IDR. Safe amount today: 23826000.00 IDR. Recommended method: full_payment. Full payment is first forecast safe on 2026-04-05.
request_238,225.63,not_affordable,not_recommended,none,,none,Current balance is 1882.07 USD; minimum balance to keep is 700.00 USD. Maximum safe amount today is 225.63 USD.
request_239,642.0,not_affordable,not_recommended,none,,none,Current balance is 1988.90 USD; minimum balance to keep is 600.00 USD. Maximum safe amount today is 642.00 USD.
request_240,0.0,not_affordable,not_recommended,none,,none,Current balance is 92720.00 INR; minimum balance to keep is 52800.00 INR. Maximum safe amount today is 0.00 INR.
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Current balance: 90172322.14 IDR. Required minimum: 19252000.00 IDR. Safe amount today: 21052000.00 IDR. Recommended method: installments. Full payment is first forecast safe on 2024-03-03.
request_242,0.0,not_affordable,not_recommended,none,,none,Current balance is 1037.40 EUR; minimum balance to keep is 600.00 EUR. Maximum safe amount today is 0.00 EUR.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468.00,2026-07-07,none,Current balance: 47470.40 ZAR. Required minimum: 19900.00 ZAR. Safe amount today: 17468.00 ZAR. Recommended method: full_payment. Full payment is first forecast safe on 2026-07-07.
request_244,49918.0,not_affordable,not_recommended,none,,none,Current balance is 126279.20 ZAR; minimum balance to keep is 45900.00 ZAR. Maximum safe amount today is 49918.00 ZAR.
request_245,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Current balance: 201692.06 ZAR. Required minimum: 39300.00 ZAR. Safe amount today: 64086.00 ZAR. Recommended method: installments. Full payment is first forecast safe on 2026-04-03.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Current balance: 2819.20 EUR. Required minimum: 1300.00 EUR. Safe amount today: 1059.30 EUR. Recommended method: full_payment. Full payment is first forecast safe on 2024-09-05.
request_248,0.0,not_affordable,not_recommended,none,,none,Current balance is 2807.36 USD; minimum balance to keep is 1300.00 USD. Maximum safe amount today is 0.00 USD.
request_249,342.4,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,Current balance: 942.40 USD. Required minimum: 600.00 USD. Safe amount today: 342.40 USD. Recommended method: wait. Full payment is first forecast safe on 2026-03-15.
request_250,28820.0,not_affordable,not_recommended,none,,none,Current balance is 64120.00 ZAR; minimum balance to keep is 35300.00 ZAR. Maximum safe amount today is 28820.00 ZAR.
request_251,1513.6,affordable_later,not_recommended,none,2025-05-03,none,Current balance is 4648.55 EUR; minimum balance to keep is 1300.00 EUR. Maximum safe amount today is 1513.60 EUR.
request_252,10098500.0,affordable_later,wait,2026-09-13:28082000.00,2026-09-13,none,Current balance: 25250700.00 IDR. Required minimum: 15152200.00 IDR. Safe amount today: 10098500.00 IDR. Recommended method: wait. Full payment is first forecast safe on 2026-09-13.
request_253,2335.57,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-18,none,Current balance: 4635.57 EUR. Required minimum: 2300.00 EUR. Safe amount today: 2335.57 EUR. Recommended method: installments. Full payment is first forecast safe on 2024-05-18.
request_254,1759.6,affordable_later,wait,2025-10-13:3535.20,2025-10-13,none,Current balance: 4259.60 USD. Required minimum: 2500.00 USD. Safe amount today: 1759.60 USD. Recommended method: wait. Full payment is first forecast safe on 2025-10-13.
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000.00,2026-04-06,none,Current balance: 38518150.00 IDR. Required minimum: 9813900.00 IDR. Safe amount today: 3345000.00 IDR. Recommended method: full_payment. Full payment is first forecast safe on 2026-04-06.
request_256,0.0,not_affordable,not_recommended,none,,none,Current balance is 394983.28 INR; minimum balance to keep is 168600.00 INR. Maximum safe amount today is 0.00 INR.
request_257,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_258,1113.6,not_affordable,not_recommended,none,,none,Current balance is 2603.68 USD; minimum balance to keep is 500.00 USD. Maximum safe amount today is 1113.60 USD.
request_259,669.3,affordable_later,wait,2024-10-14:935.00,2024-10-14,none,Current balance: 1269.30 EUR. Required minimum: 600.00 EUR. Safe amount today: 669.30 EUR. Recommended method: wait. Full payment is first forecast safe on 2024-10-14.
request_260,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Current balance: 4718.96 EUR. Required minimum: 1500.00 EUR. Safe amount today: 1830.40 EUR. Recommended method: full_payment. Full payment is first forecast safe on 2026-07-03.
request_262,0.0,not_affordable,not_recommended,none,,none,Current balance is 88406100.00 IDR; minimum balance to keep is 31018500.00 IDR. Maximum safe amount today is 0.00 IDR.
request_263,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_264,44875.0,affordable_later,wait,2026-06-13:111300.00,2026-06-13,none,Current balance: 104375.00 INR. Required minimum: 59500.00 INR. Safe amount today: 44875.00 INR. Recommended method: wait. Full payment is first forecast safe on 2026-06-13.
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970.00,2024-03-06,none,Current balance: 786105.00 INR. Required minimum: 189700.00 INR. Safe amount today: 45970.00 INR. Recommended method: full_payment. Full payment is first forecast safe on 2024-03-06.
request_266,935.0,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,Current balance: 2354.92 EUR. Required minimum: 900.00 EUR. Safe amount today: 935.00 EUR. Recommended method: installments. Full payment is first forecast safe on 2025-08-03.
request_267,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_268,1512.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-14,none,Current balance: 2912.52 EUR. Required minimum: 1400.00 EUR. Safe amount today: 1512.52 EUR. Recommended method: installments. Full payment is first forecast safe on 2024-07-14.
request_269,0.0,not_affordable,not_recommended,none,,none,Current balance is 45307.90 ZAR; minimum balance to keep is 23100.00 ZAR. Maximum safe amount today is 0.00 ZAR.
request_270,0.0,not_affordable,not_recommended,none,,none,Current balance is 1935.40 USD; minimum balance to keep is 1400.00 USD. Maximum safe amount today is 0.00 USD.
request_271,84760.0,not_affordable,not_recommended,none,,none,Current balance is 142960.00 INR; minimum balance to keep is 58200.00 INR. Maximum safe amount today is 84760.00 INR.
request_272,8815924.0,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-16,none,Current balance: 16324524.00 IDR. Required minimum: 7508600.00 IDR. Safe amount today: 8815924.00 IDR. Recommended method: installments. Full payment is first forecast safe on 2025-03-16.
request_273,13372200.0,affordable_with_plan,installments,2026-04-07:5498480.00|2026-05-05:5498480.00|2026-06-02:5498480.00,2026-04-14,none,Current balance: 32146800.00 IDR. Required minimum: 18774600.00 IDR. Safe amount today: 13372200.00 IDR. Recommended method: installments. Full payment is first forecast safe on 2026-04-14.
request_274,0.0,not_affordable,not_recommended,none,,none,Processing error: Invalid comparison between dtype=str and Timestamp
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000.00,2025-05-06,none,Current balance: 37206450.00 IDR. Required minimum: 12760100.00 IDR. Safe amount today: 15884000.00 IDR. Recommended method: full_payment. Full payment is first forecast safe on 2025-05-06.
